p1, p2, p3, average minority fraction, variance
0.5, 0.0, 0.0, 0.0, 0.0
0.5, 0.0, 0.03, 0.0, 0.0
0.5, 0.0, 0.06, 0.0, 0.0
0.5, 0.0, 0.09, 0.0, 0.0
0.5, 0.0, 0.12, 0.0, 0.0
0.5, 0.0, 0.15, 0.0, 0.0
0.5, 0.0, 0.18, 0.0, 0.0
0.5, 0.0, 0.21, 0.0, 0.0
0.5, 0.0, 0.24, 0.0, 0.0
0.5, 0.0, 0.27, 0.0, 0.0
0.5, 0.03, 0.0, 0.0, 0.0
0.5, 0.03, 0.03, 0.0, 0.0
0.5, 0.03, 0.06, 0.0, 0.0
0.5, 0.03, 0.09, 0.0, 0.0
0.5, 0.03, 0.12, 0.0, 0.0
0.5, 0.03, 0.15, 0.0, 0.0
0.5, 0.03, 0.18, 1.3333333333333335e-05, 1.226666666666667e-08
0.5, 0.03, 0.21, 0.0, 0.0
0.5, 0.03, 0.24, 0.0002466666666666667, 6.920444444444445e-07
0.5, 0.03, 0.27, 0.0, 0.0
0.5, 0.06, 0.0, 0.0, 0.0
0.5, 0.06, 0.03, 0.0, 0.0
0.5, 0.06, 0.06, 4.444444444444445e-06, 1.7580246913580251e-09
0.5, 0.06, 0.09, 7.999999999999999e-05, 6.471111111111113e-08
0.5, 0.06, 0.12, 0.005242458100558659, 1.1831940326456725e-05
0.5, 0.06, 0.15, 0.0001511111111111111, 4.464987654320987e-07
0.5, 0.06, 0.18, 0.03092290502793296, 0.00023245595580662277
0.5, 0.06, 0.21, 0.03890279329608939, 0.0005193619475047596
0.5, 0.06, 0.24, 0.04816312849162012, 0.0001454259030617022
0.5, 0.06, 0.27, 0.048435754189944134, 0.00043368095627477294
0.5, 0.09, 0.0, 0.0, 0.0
0.5, 0.09, 0.03, 0.0, 0.0
0.5, 0.09, 0.06, 0.0, 0.0
0.5, 0.09, 0.09, 4.222222222222223e-05, 5.066172839506172e-08
0.5, 0.09, 0.12, 0.0168536312849162, 8.637209575231735e-05
0.5, 0.09, 0.15, 0.04468156424581005, 0.00025277971598888923
0.5, 0.09, 0.18, 0.054750837988826816, 0.0003641146780687245
0.5, 0.09, 0.21, 0.06364692737430168, 0.00037759690396679254
0.5, 0.09, 0.24, 0.07050949720670391, 0.00021560454667457322
0.5, 0.09, 0.27, 0.07918659217877096, 0.00019629926157111203
0.5, 0.12, 0.0, 0.0, 0.0
0.5, 0.12, 0.03, 0.00043333333333333326, 9.331111111111109e-07
0.5, 0.12, 0.06, 0.0, 0.0
0.5, 0.12, 0.09, 0.00010000000000000002, 1.526666666666666e-07
0.5, 0.12, 0.12, 0.03375418994413408, 0.00023118516400861394
0.5, 0.12, 0.15, 0.061928491620111735, 0.0001687332105739521
0.5, 0.12, 0.18, 0.0762122905027933, 0.00022874867575918355
0.5, 0.12, 0.21, 0.08692290502793297, 9.821148653287974e-05
0.5, 0.12, 0.24, 0.09762905027932961, 0.00010920943541087981
0.5, 0.12, 0.27, 0.10227932960893854, 0.0002534862207796261
0.5, 0.15, 0.0, 5.5555555555555565e-05, 1.9135802469135795e-08
0.5, 0.15, 0.03, 0.0003022222222222222, 4.5621728395061733e-07
0.5, 0.15, 0.06, 0.0006599999999999999, 2.489733333333333e-06
0.5, 0.15, 0.09, 0.016223463687150844, 0.0002047607902375082
0.5, 0.15, 0.12, 0.058621229050279326, 0.0001667202197184857
0.5, 0.15, 0.15, 0.07443798882681564, 0.00014844905964233327
0.5, 0.15, 0.18, 0.09198212290502791, 0.00013585308823070441
0.5, 0.15, 0.21, 0.10628156424581006, 7.769859867045349e-05
0.5, 0.15, 0.24, 0.1179932960893855, 0.0001079802902531132
0.5, 0.15, 0.27, 0.12709720670391061, 0.00010652440560531817
0.5, 0.18, 0.0, 0.00011333333333333334, 1.0537777777777779e-07
0.5, 0.18, 0.03, 0.0007, 3.6513333333333335e-06
0.5, 0.18, 0.06, 0.00022666666666666668, 4.2862222222222237e-07
0.5, 0.18, 0.09, 0.00043555555555555557, 1.5151802469135801e-06
